experiment_TF	experiment_TF_family	best_motif	best_auc	tfs_of_best_motif	best_motifs_family
ATF7	Jun-related factors{1.1.1}	ATF7_HUMAN.H11MO.0.D	0.88019	ATF7	Jun-related factors{1.1.1}
BACH1	Jun-related factors{1.1.1}	NFE2_HUMAN.H11MO.0.A	0.9053800000000001	NFE2	Jun-related factors{1.1.1}
BACH2	Jun-related factors{1.1.1}	NF2L2_HUMAN.H11MO.0.A	0.9114450000000001	NFE2L2	Jun-related factors{1.1.1}
BAHD1	unknown	MA0845.1_FOXB1	0.6598	FOXB1	Forkhead box (FOX) factors{3.3.1}
BATF	B-ATF-related factors{1.1.4}	BATF_HUMAN.H11MO.0.A	0.882445	BATF	B-ATF-related factors{1.1.4}
BCL11A	Factors with multiple dispersed zinc fingers{2.3.4}	MA0684.1_RUNX3	0.604765	RUNX3	Runt-related factors{6.4.1}
BCL3	Ankyrin domain-only factors{6.1.2}	GMEB2_HUMAN.H11MO.0.D	0.6619900000000001	GMEB2	GMEB{5.3.3}
BCL6	More than 3 adjacent zinc finger factors{2.3.3}	MA0062.2_Gabpa	0.704792	GABPA	Ets-related factors{3.5.2}
BCLAF1	unknown	MA0156.2_FEV	0.672445	FEV	Ets-related factors{3.5.2}
BCOR	unknown	GABPA_HUMAN.H11MO.0.A	0.68828	GABPA	Ets-related factors{3.5.2}
BHLHE22	Tal-related factors{1.2.3}	TFE2_HUMAN.H11MO.0.A	0.89647	TCF3	E2A-related factors{1.2.1}
BHLHE40	Hairy-related factors{1.2.4}	MA0464.2_BHLHE40	0.90568	BHLHE40	Hairy-related factors{1.2.4}
BMI1	unknown	MA0510.2_RFX5	0.81462	RFX5	RFX-related factors{3.3.3}
BMPR1A	unknown	MA0028.2_ELK1	0.94661	ELK1	Ets-related factors{3.5.2}
BRCA1	unknown	MA0028.2_ELK1	0.71748	ELK1	Ets-related factors{3.5.2}
BRD1	unknown	ZBT14_HUMAN.H11MO.0.C	0.6666	ZBTB14	More than 3 adjacent zinc finger factors{2.3.3}
BRD2	unknown	MA0062.2_Gabpa	0.5945433333333333	GABPA	Ets-related factors{3.5.2}
BRD3	unknown	NRF1_HUMAN.H11MO.0.A	0.6946666666666667	NRF1	NRF{0.0.6}
BRD4	unknown	MA0062.2_Gabpa	0.6358771428571429	GABPA	Ets-related factors{3.5.2}
CBFA2T2	unknown	PRD14_HUMAN.H11MO.0.A	0.68519	PRDM14	More than 3 adjacent zinc finger factors{2.3.3}
CBFB	unknown	MA0028.2_ELK1	0.63982	ELK1	Ets-related factors{3.5.2}
CBX1	unknown	CTCF_HUMAN.H11MO.0.A	0.618045	CTCF	More than 3 adjacent zinc finger factors{2.3.3}
CBX2	unknown	ZN436_HUMAN.H11MO.0.C	0.5626	ZNF436	More than 3 adjacent zinc finger factors{2.3.3}
CBX3	unknown	ZN317_HUMAN.H11MO.0.C	0.66025	ZNF317	More than 3 adjacent zinc finger factors{2.3.3}
CCNT2	unknown	TAL1_HUMAN.H11MO.0.A	0.62543	TAL1	Tal-related factors{1.2.3}
CDK6	unknown	NRF1_HUMAN.H11MO.0.A	0.708045	NRF1	NRF{0.0.6}
CDK7	unknown	MA0028.2_ELK1	0.69443	ELK1	Ets-related factors{3.5.2}
CDK8	unknown	MA0062.2_Gabpa	0.67916875	GABPA	Ets-related factors{3.5.2}
CDK9	unknown	MA0028.2_ELK1	0.6630416666666666	ELK1	Ets-related factors{3.5.2}
CDX2	HOX-related factors{3.1.1}	EVX2_HUMAN.H11MO.0.A	0.8465125	EVX2	HOX-related factors{3.1.1}
CEBPA	C/EBP-related{1.1.8}	CEBPB_HUMAN.H11MO.0.A	0.9225199999999999	CEBPB	C/EBP-related{1.1.8}
CEBPB	C/EBP-related{1.1.8}	CEBPB_HUMAN.H11MO.0.A	0.960547	CEBPB	C/EBP-related{1.1.8}
CEBPD	C/EBP-related{1.1.8}	TAL1_HUMAN.H11MO.0.A	0.7040299999999999	TAL1	Tal-related factors{1.2.3}
CEBPG	C/EBP-related{1.1.8}	CEBPB_HUMAN.H11MO.0.A	0.9533	CEBPB	C/EBP-related{1.1.8}
CHD1	unknown	CTCFL_HUMAN.H11MO.0.A	0.5524675	CTCFL	More than 3 adjacent zinc finger factors{2.3.3}
CHD2	unknown	MA0527.1_ZBTB33	0.7713166666666668	ZBTB33	Other factors with up to three adjacent zinc fingers{2.3.2}
CHD7	unknown	ZIC2_HUMAN.H11MO.0.D	0.67632	ZIC2	More than 3 adjacent zinc finger factors{2.3.3}
CHD8	unknown	MA0472.2_EGR2	0.6382380000000001	EGR2	Three-zinc finger Krüppel-related factors{2.3.1}
CLOCK	PAS domain factors{1.2.5}	MA1099.1_Hes1	0.77305	HES1	Hairy-related factors{1.2.4}
CREB1	CREB-related factors{1.1.7}	MA0604.1_Atf1	0.8531273333333333	ATF1	CREB-related factors{1.1.7}
CREB3	CREB-related factors{1.1.7}	TYY1_HUMAN.H11MO.0.A	0.70514	YY1	More than 3 adjacent zinc finger factors{2.3.3}
CREB3L1	CREB-related factors{1.1.7}	CR3L1_HUMAN.H11MO.0.D	0.76029	CREB3L1	CREB-related factors{1.1.7}
CREBBP	unknown	ETV1_HUMAN.H11MO.0.A	0.6231450000000001	ETV1	Ets-related factors{3.5.2}
CREM	CREB-related factors{1.1.7}	ATF1_HUMAN.H11MO.0.B	0.84255	ATF1	CREB-related factors{1.1.7}
CRY1	unknown	MA1099.1_Hes1	0.7264	HES1	Hairy-related factors{1.2.4}
CSNK2A1	unknown	MBD2_HUMAN.H11MO.0.B	0.60089	MBD2	unknown
CTBP1	unknown	GRHL2_HUMAN.H11MO.0.A	0.72571	GRHL2	Grainyhead-related factors{6.7.1}
CTBP2	unknown	MA0815.1_TFAP2C_var.3	0.65868	TFAP2C	AP-2{1.3.1}
CTCF	More than 3 adjacent zinc finger factors{2.3.3}	CTCF_HUMAN.H11MO.0.A	0.9778453551912568	CTCF	More than 3 adjacent zinc finger factors{2.3.3}
CTCFL	More than 3 adjacent zinc finger factors{2.3.3}	CTCFL_HUMAN.H11MO.0.A	0.85738	CTCFL	More than 3 adjacent zinc finger factors{2.3.3}
CTNNB1	unknown	TF7L2_HUMAN.H11MO.0.A	0.699125	TCF7L2	TCF-7-related factors{4.1.3}
CUX1	HD-CUT factors{3.1.9}	MA0754.1_CUX1	0.833005	CUX1	HD-CUT factors{3.1.9}
CXXC4	unknown	NRF1_HUMAN.H11MO.0.A	0.73181	NRF1	NRF{0.0.6}
DAXX	unknown	MA1137.1_FOSL1::JUNB	0.842345	FOSL1:JUNB	ambiguous
DDX20	unknown	NFYC_HUMAN.H11MO.0.A	0.79969	NFYC	Heteromeric CCAAT-binding factors{4.2.1}
DDX5	unknown	MA0472.2_EGR2	0.65256	EGR2	Three-zinc finger Krüppel-related factors{2.3.1}
DEK	unknown	CTCFL_HUMAN.H11MO.0.A	0.85494	CTCFL	More than 3 adjacent zinc finger factors{2.3.3}
DIDO1	unknown	GABPA_HUMAN.H11MO.0.A	0.72058	GABPA	Ets-related factors{3.5.2}
DNMT3B	GATA-type zinc fingers{2.2.1}	CTCFL_HUMAN.H11MO.0.A	0.66557	CTCFL	More than 3 adjacent zinc finger factors{2.3.3}
DPF2	unknown	GATA1_HUMAN.H11MO.0.A	0.734615	GATA1	GATA-type zinc fingers{2.2.1}
DUX4	Paired-related HD factors{3.1.3}	DUX4_HUMAN.H11MO.0.A	0.98494	DUX4	Paired-related HD factors{3.1.3}
E2F1	E2F-related factors{3.3.2}	MA0470.1_E2F4	0.7764316666666667	E2F4	E2F-related factors{3.3.2}
E2F4	E2F-related factors{3.3.2}	MA0470.1_E2F4	0.80492	E2F4	E2F-related factors{3.3.2}
E2F6	E2F-related factors{3.3.2}	MA0470.1_E2F4	0.743532	E2F4	E2F-related factors{3.3.2}
E2F7	E2F-related factors{3.3.2}	MA1132.1_JUN::JUNB	0.64999	JUN:JUNB	Jun-related factors{1.1.1}
EBF1	Early B-Cell Factor-related factors{6.1.5}	MA0154.3_EBF1	0.9366199999999999	EBF1	Early B-Cell Factor-related factors{6.1.5}
EED	unknown	MA0062.2_Gabpa	0.67218	GABPA	Ets-related factors{3.5.2}
EGLN2	unknown	MA1106.1_HIF1A	0.8032	HIF1A	PAS domain factors{1.2.5}
EGR1	Three-zinc finger Krüppel-related factors{2.3.1}	MA0732.1_EGR3	0.9109283333333332	EGR3	Three-zinc finger Krüppel-related factors{2.3.1}
ELF1	Ets-related factors{3.5.2}	MA0062.2_Gabpa	0.934332	GABPA	Ets-related factors{3.5.2}
ELF3	Ets-related factors{3.5.2}	EHF_HUMAN.H11MO.0.B	0.9553600000000001	EHF	Ets-related factors{3.5.2}
ELK1	Ets-related factors{3.5.2}	MA0028.2_ELK1	0.8694949999999999	ELK1	Ets-related factors{3.5.2}
ELK4	Ets-related factors{3.5.2}	MA0028.2_ELK1	0.9522	ELK1	Ets-related factors{3.5.2}
ELL2	unknown	MA0028.2_ELK1	0.675645	ELK1	Ets-related factors{3.5.2}
EOMES	TBrain-related factors{6.5.2}	MA0766.1_GATA5	0.79224	GATA5	GATA-type zinc fingers{2.2.1}
EP300	unknown	BATF_HUMAN.H11MO.1.A	0.62641	BATF	B-ATF-related factors{1.1.4}
ERG	Ets-related factors{3.5.2}	MA0475.2_FLI1	0.8411633333333333	FLI1	Ets-related factors{3.5.2}
ESR1	Steroid hormone receptors (NR3){2.1.1}	MA0258.2_ESR2	0.8552664814814815	ESR2	Steroid hormone receptors (NR3){2.1.1}
ESRRA	Steroid hormone receptors (NR3){2.1.1}	MA0643.1_Esrrg	0.9173944444444445	ESRRG	Steroid hormone receptors (NR3){2.1.1}
ETS1	Ets-related factors{3.5.2}	MA0028.2_ELK1	0.775409	ELK1	Ets-related factors{3.5.2}
ETV1	Ets-related factors{3.5.2}	MA0761.1_ETV1	0.9246033333333333	ETV1	Ets-related factors{3.5.2}
ETV4	Ets-related factors{3.5.2}	MA0759.1_ELK3	0.91384	ELK3	Ets-related factors{3.5.2}
ETV6	Ets-related factors{3.5.2}	MA0136.2_ELF5	0.7590966666666666	ELF5	Ets-related factors{3.5.2}
EZH1	unknown	NRF1_HUMAN.H11MO.0.A	0.7239800000000001	NRF1	NRF{0.0.6}
EZH2	unknown	NRF1_HUMAN.H11MO.0.A	0.5818214285714285	NRF1	NRF{0.0.6}
FANCL	unknown	MA0506.1_NRF1	0.73896	NRF1	NRF{0.0.6}
FLI1	Ets-related factors{3.5.2}	MA0062.2_Gabpa	0.8226016666666666	GABPA	Ets-related factors{3.5.2}
FOS	Fos-related factors{1.1.2}	MA1142.1_FOSL1::JUND	0.8833170000000001	FOSL1:JUND	ambiguous
FOSL1	Fos-related factors{1.1.2}	MA1128.1_FOSL1::JUN	0.95716	FOSL1:JUN	ambiguous
FOSL2	Fos-related factors{1.1.2}	MA1128.1_FOSL1::JUN	0.9786216666666667	FOSL1:JUN	ambiguous
FOXA1	Forkhead box (FOX) factors{3.3.1}	FOXA2_HUMAN.H11MO.0.A	0.9229331081081081	FOXA2	Forkhead box (FOX) factors{3.3.1}
FOXA2	Forkhead box (FOX) factors{3.3.1}	FOXA2_HUMAN.H11MO.0.A	0.9430642857142857	FOXA2	Forkhead box (FOX) factors{3.3.1}
FOXK2	Forkhead box (FOX) factors{3.3.1}	MA0852.2_FOXK1	0.8130799999999999	FOXK1	Forkhead box (FOX) factors{3.3.1}
FOXM1	Forkhead box (FOX) factors{3.3.1}	BATF_HUMAN.H11MO.1.A	0.63093625	BATF	B-ATF-related factors{1.1.4}
FOXO1	Forkhead box (FOX) factors{3.3.1}	FOXO3_HUMAN.H11MO.0.B	0.7991699999999999	FOXO3	Forkhead box (FOX) factors{3.3.1}
FOXP1	Forkhead box (FOX) factors{3.3.1}	MA0847.1_FOXD2	0.718104	FOXD2	Forkhead box (FOX) factors{3.3.1}
FOXP2	Forkhead box (FOX) factors{3.3.1}	FOXP2_HUMAN.H11MO.0.C	0.75416	FOXP2	Forkhead box (FOX) factors{3.3.1}
GABPA	Ets-related factors{3.5.2}	MA0028.2_ELK1	0.945914	ELK1	Ets-related factors{3.5.2}
GATA1	GATA-type zinc fingers{2.2.1}	MA0766.1_GATA5	0.89525875	GATA5	GATA-type zinc fingers{2.2.1}
GATA2	GATA-type zinc fingers{2.2.1}	MA0037.3_GATA3	0.7713094444444445	GATA3	GATA-type zinc fingers{2.2.1}
GATA3	GATA-type zinc fingers{2.2.1}	MA0766.1_GATA5	0.8265995238095238	GATA5	GATA-type zinc fingers{2.2.1}
GATA4	GATA-type zinc fingers{2.2.1}	MA0766.1_GATA5	0.86809	GATA5	GATA-type zinc fingers{2.2.1}
GATA6	GATA-type zinc fingers{2.2.1}	MA0766.1_GATA5	0.912095	GATA5	GATA-type zinc fingers{2.2.1}
GATAD1	GATA-type zinc fingers{2.2.1}	ELK4_HUMAN.H11MO.0.A	0.65615	ELK4	Ets-related factors{3.5.2}
GFI1B	More than 3 adjacent zinc finger factors{2.3.3}	MA0060.3_NFYA	0.7442	NFYA	Heteromeric CCAAT-binding factors{4.2.1}
GLYR1	unknown	HEN1_HUMAN.H11MO.0.C	0.68456	NHLH1	Tal-related factors{1.2.3}
GRHL2	Grainyhead-related factors{6.7.1}	GRHL2_HUMAN.H11MO.0.A	0.8956825	GRHL2	Grainyhead-related factors{6.7.1}
GSPT2	unknown	NRF1_HUMAN.H11MO.0.A	0.71037	NRF1	NRF{0.0.6}
GTF2B	unknown	MA0028.2_ELK1	0.7155	ELK1	Ets-related factors{3.5.2}
GTF2F1	unknown	ZBT14_HUMAN.H11MO.0.C	0.635434	ZBTB14	More than 3 adjacent zinc finger factors{2.3.3}
GTF3C2	unknown	MA0859.1_Rarg	0.61971	RARG	Thyroid hormone receptor-related factors (NR1){2.1.2}
HBP1	SOX-related factors{4.1.1}	MA0028.2_ELK1	0.66261	ELK1	Ets-related factors{3.5.2}
HCFC1	unknown	ZNF76_HUMAN.H11MO.0.C	0.752336	ZNF76	More than 3 adjacent zinc finger factors{2.3.3}
HDAC1	unknown	MYCN_HUMAN.H11MO.0.A	0.631405	MYCN	bHLH-ZIP factors{1.2.6}
HDAC2	unknown	HEN1_HUMAN.H11MO.0.C	0.5837875	NHLH1	Tal-related factors{1.2.3}
HDAC3	unknown	FOXA2_HUMAN.H11MO.0.A	0.85514	FOXA2	Forkhead box (FOX) factors{3.3.1}
HDGF	unknown	SPIC_HUMAN.H11MO.0.D	0.67379	SPIC	Ets-related factors{3.5.2}
HEXIM1	unknown	MBD2_HUMAN.H11MO.0.B	0.66419	MBD2	unknown
HHEX	NK-related factors{3.1.2}	FOXA2_HUMAN.H11MO.0.A	0.87111	FOXA2	Forkhead box (FOX) factors{3.3.1}
HIF1A	PAS domain factors{1.2.5}	MA1106.1_HIF1A	0.792235	HIF1A	PAS domain factors{1.2.5}
HMBOX1	POU domain factors{3.1.10}	MA0895.1_HMBOX1	0.85956	HMBOX1	POU domain factors{3.1.10}
HMGN3	unknown	SP1_HUMAN.H11MO.0.A	0.67527	SP1	Three-zinc finger Krüppel-related factors{2.3.1}
HNF1B	POU domain factors{3.1.10}	HNF1B_HUMAN.H11MO.0.A	0.9478	HNF1B	POU domain factors{3.1.10}
HNF4A	RXR-related receptors (NR2){2.1.3}	HNF4A_HUMAN.H11MO.0.A	0.9413866666666668	HNF4A	RXR-related receptors (NR2){2.1.3}
HNF4G	RXR-related receptors (NR2){2.1.3}	HNF4A_HUMAN.H11MO.0.A	0.95363	HNF4A	RXR-related receptors (NR2){2.1.3}
HOXA9	HOX-related factors{3.1.1}	MEIS1_HUMAN.H11MO.0.A	0.8483	MEIS1	TALE-type homeo domain factors{3.1.4}
HOXB13	HOX-related factors{3.1.1}	HXB13_HUMAN.H11MO.0.A	0.85085	HOXB13	HOX-related factors{3.1.1}
HSF1	HSF factors{3.4.1}	MA0771.1_HSF4	0.74523625	HSF4	HSF factors{3.4.1}
ID3	HLH domain only{1.2.8}	MA1112.1_NR4A1	0.66576	NR4A1	NGFI-B-related receptors (NR4){2.1.4}
IKZF1	Factors with multiple dispersed zinc fingers{2.3.4}	GATA1_HUMAN.H11MO.0.A	0.76354	GATA1	GATA-type zinc fingers{2.2.1}
IRF1	Interferon-regulatory factors{3.5.3}	MA0652.1_IRF8	0.7020375	IRF8	Interferon-regulatory factors{3.5.3}
IRF2	Interferon-regulatory factors{3.5.3}	MA0652.1_IRF8	0.85707	IRF8	Interferon-regulatory factors{3.5.3}
IRF4	Interferon-regulatory factors{3.5.3}	IRF4_HUMAN.H11MO.0.A	0.786248	IRF4	Interferon-regulatory factors{3.5.3}
IRF9	Interferon-regulatory factors{3.5.3}	MA0043.2_HLF	0.81685	HLF	C/EBP-related{1.1.8}
JARID2	ARID-related factors{3.7.1}	MBD2_HUMAN.H11MO.0.B	0.6440785714285714	MBD2	unknown
JMJD1C	unknown	GABPA_HUMAN.H11MO.0.A	0.7860475	GABPA	Ets-related factors{3.5.2}
JMJD6	unknown	CTCF_HUMAN.H11MO.0.A	0.97731	CTCF	More than 3 adjacent zinc finger factors{2.3.3}
JUN	Jun-related factors{1.1.1}	MA1132.1_JUN::JUNB	0.8998899999999999	JUN:JUNB	Jun-related factors{1.1.1}
JUNB	Jun-related factors{1.1.1}	MA1141.1_FOS::JUND	0.8783099999999999	FOS:JUND	ambiguous
JUND	Jun-related factors{1.1.1}	MA1132.1_JUN::JUNB	0.8268042105263158	JUN:JUNB	Jun-related factors{1.1.1}
KDM1A	unknown	MA0607.1_Bhlha15	0.5961709090909091	BHLHA15	Tal-related factors{1.2.3}
KDM4A	unknown	ZBT14_HUMAN.H11MO.0.C	0.65564	ZBTB14	More than 3 adjacent zinc finger factors{2.3.3}
KDM4B	unknown	MA0062.2_Gabpa	0.75189	GABPA	Ets-related factors{3.5.2}
KDM4C	unknown	AP2D_HUMAN.H11MO.0.D	0.76252	TFAP2D	AP-2{1.3.1}
KDM5A	ARID-related factors{3.7.1}	MA0028.2_ELK1	0.75189	ELK1	Ets-related factors{3.5.2}
KDM5B	ARID-related factors{3.7.1}	CTCFL_HUMAN.H11MO.0.A	0.78862875	CTCFL	More than 3 adjacent zinc finger factors{2.3.3}
KDM6B	unknown	MA0506.1_NRF1	0.64598	NRF1	NRF{0.0.6}
KLF1	Three-zinc finger Krüppel-related factors{2.3.1}	KLF4_HUMAN.H11MO.0.A	0.6731499999999999	KLF4	Three-zinc finger Krüppel-related factors{2.3.1}
KLF13	Three-zinc finger Krüppel-related factors{2.3.1}	KLF14_HUMAN.H11MO.0.D	0.77419	KLF14	Three-zinc finger Krüppel-related factors{2.3.1}
KLF4	Three-zinc finger Krüppel-related factors{2.3.1}	KLF4_HUMAN.H11MO.0.A	0.8082119999999999	KLF4	Three-zinc finger Krüppel-related factors{2.3.1}
KLF5	Three-zinc finger Krüppel-related factors{2.3.1}	KLF4_HUMAN.H11MO.0.A	0.6926766666666667	KLF4	Three-zinc finger Krüppel-related factors{2.3.1}
KLF6	Three-zinc finger Krüppel-related factors{2.3.1}	MA0493.1_Klf1	0.75431	KLF1	Three-zinc finger Krüppel-related factors{2.3.1}
KLF9	Three-zinc finger Krüppel-related factors{2.3.1}	KLF9_HUMAN.H11MO.0.C	0.9488749999999999	KLF9	Three-zinc finger Krüppel-related factors{2.3.1}
KMT2A	CpG-binding proteins{2.6.1}	NRF1_HUMAN.H11MO.0.A	0.639	NRF1	NRF{0.0.6}
LDB1	unknown	TAL1_HUMAN.H11MO.0.A	0.9587	TAL1	Tal-related factors{1.2.3}
LHX2	HD-LIM factors{3.1.5}	MA0723.1_VAX2	0.84084	VAX2	NK-related factors{3.1.2}
LMO2	unknown	MA0098.3_ETS1	0.839688	ETS1	Ets-related factors{3.5.2}
LYL1	Tal-related factors{1.2.3}	MA0156.2_FEV	0.8575266666666667	FEV	Ets-related factors{3.5.2}
MAF	Maf-related factors{1.1.3}	MA0028.2_ELK1	0.7285349999999999	ELK1	Ets-related factors{3.5.2}
MAFB	Maf-related factors{1.1.3}	NRL_HUMAN.H11MO.0.D	0.74426	NRL	Maf-related factors{1.1.3}
MAFF	Maf-related factors{1.1.3}	MAF_HUMAN.H11MO.0.A	0.92814	MAF	Maf-related factors{1.1.3}
MAFG	Maf-related factors{1.1.3}	MAFK_HUMAN.H11MO.0.A	0.97374	MAFK	Maf-related factors{1.1.3}
MAFK	Maf-related factors{1.1.3}	MAFK_HUMAN.H11MO.0.A	0.9547055555555555	MAFK	Maf-related factors{1.1.3}
MAML3	unknown	MA0766.1_GATA5	0.78744	GATA5	GATA-type zinc fingers{2.2.1}
MAX	bHLH-ZIP factors{1.2.6}	MYCN_HUMAN.H11MO.0.A	0.8668980000000001	MYCN	bHLH-ZIP factors{1.2.6}
MAZ	Factors with multiple dispersed zinc fingers{2.3.4}	SP1_HUMAN.H11MO.0.A	0.7696514285714285	SP1	Three-zinc finger Krüppel-related factors{2.3.1}
MBD2	unknown	ZBT14_HUMAN.H11MO.0.C	0.72321	ZBTB14	More than 3 adjacent zinc finger factors{2.3.3}
MBD3	unknown	BHE22_HUMAN.H11MO.0.D	0.59664	BHLHE22	Tal-related factors{1.2.3}
MED1	unknown	MA0028.2_ELK1	0.6559585714285715	ELK1	Ets-related factors{3.5.2}
MED26	unknown	MBD2_HUMAN.H11MO.0.B	0.680455	MBD2	unknown
MEF2A	Regulators of differentiation{5.1.1}	MEF2C_HUMAN.H11MO.0.A	0.8328	MEF2C	Regulators of differentiation{5.1.1}
MEF2B	Regulators of differentiation{5.1.1}	MEF2C_HUMAN.H11MO.0.A	0.79879	MEF2C	Regulators of differentiation{5.1.1}
MEF2C	Regulators of differentiation{5.1.1}	MEF2C_HUMAN.H11MO.0.A	0.842	MEF2C	Regulators of differentiation{5.1.1}
MEIS1	TALE-type homeo domain factors{3.1.4}	MEIS1_HUMAN.H11MO.0.A	0.83389	MEIS1	TALE-type homeo domain factors{3.1.4}
MEIS2	TALE-type homeo domain factors{3.1.4}	MEIS1_HUMAN.H11MO.0.A	0.86538	MEIS1	TALE-type homeo domain factors{3.1.4}
MIER1	Myb/SANT domain factors{3.5.1}	REST_HUMAN.H11MO.0.A	0.86147	REST	Factors with multiple dispersed zinc fingers{2.3.4}
MITF	bHLH-ZIP factors{1.2.6}	MA0831.2_TFE3	0.8947025	TFE3	bHLH-ZIP factors{1.2.6}
MLLT1	unknown	SPIC_HUMAN.H11MO.0.D	0.5945266666666668	SPIC	Ets-related factors{3.5.2}
MNT	bHLH-ZIP factors{1.2.6}	MA0058.3_MAX	0.89139	MAX	bHLH-ZIP factors{1.2.6}
MTA1	ambiguous	MA0604.1_Atf1	0.66825	ATF1	CREB-related factors{1.1.7}
MTA2	ambiguous	GATA2_HUMAN.H11MO.0.A	0.8179700000000001	GATA2	GATA-type zinc fingers{2.2.1}
MTA3	ambiguous	GABPA_HUMAN.H11MO.0.A	0.603305	GABPA	Ets-related factors{3.5.2}
MXI1	bHLH-ZIP factors{1.2.6}	MYCN_HUMAN.H11MO.0.A	0.75387125	MYCN	bHLH-ZIP factors{1.2.6}
MYB	Myb/SANT domain factors{3.5.1}	MYB_HUMAN.H11MO.0.A	0.7659279999999999	MYB	Myb/SANT domain factors{3.5.1}
MYBL2	Myb/SANT domain factors{3.5.1}	FOXA2_HUMAN.H11MO.0.A	0.73758	FOXA2	Forkhead box (FOX) factors{3.3.1}
MYC	bHLH-ZIP factors{1.2.6}	MYCN_HUMAN.H11MO.0.A	0.791168	MYCN	bHLH-ZIP factors{1.2.6}
MYCN	bHLH-ZIP factors{1.2.6}	MYCN_HUMAN.H11MO.0.A	0.8607166666666667	MYCN	bHLH-ZIP factors{1.2.6}
MYNN	More than 3 adjacent zinc finger factors{2.3.3}	MYNN_HUMAN.H11MO.0.D	0.6981	MYNN	More than 3 adjacent zinc finger factors{2.3.3}
MYOD1	MyoD / ASC-related factors{1.2.2}	MYOD1_HUMAN.H11MO.0.A	0.9599	MYOD1	MyoD / ASC-related factors{1.2.2}
NANOG	NK-related factors{3.1.2}	NANOG_HUMAN.H11MO.0.A	0.803924	NANOG	NK-related factors{3.1.2}
NBN	unknown	GATA2_HUMAN.H11MO.0.A	0.69218	GATA2	GATA-type zinc fingers{2.2.1}
NCOA1	PAS domain factors{1.2.5}	MA0258.2_ESR2	0.6875033333333334	ESR2	Steroid hormone receptors (NR3){2.1.1}
NCOA2	PAS domain factors{1.2.5}	ESR1_HUMAN.H11MO.1.A	0.8075	ESR1	Steroid hormone receptors (NR3){2.1.1}
NCOA3	PAS domain factors{1.2.5}	MA0258.2_ESR2	0.7468	ESR2	Steroid hormone receptors (NR3){2.1.1}
NCOR	Myb/SANT domain factors{3.5.1}	NRF1_HUMAN.H11MO.0.A	0.675435	NRF1	NRF{0.0.6}
NCOR2	Myb/SANT domain factors{3.5.1}	MA0062.2_Gabpa	0.6588025	GABPA	Ets-related factors{3.5.2}
NELFA	unknown	MA0028.2_ELK1	0.65394	ELK1	Ets-related factors{3.5.2}
NEUROD1	Tal-related factors{1.2.3}	SP1_HUMAN.H11MO.1.A	0.68765	SP1	Three-zinc finger Krüppel-related factors{2.3.1}
NFATC1	NFAT-related factors{6.1.3}	NRF1_HUMAN.H11MO.0.A	0.6295333333333333	NRF1	NRF{0.0.6}
NFE2	Jun-related factors{1.1.1}	NFE2_HUMAN.H11MO.0.A	0.82316	NFE2	Jun-related factors{1.1.1}
NFE2L2	Jun-related factors{1.1.1}	MA0591.1_Bach1::Mafk	0.783992	BACH1:MAFK	ambiguous
NFIC	Nuclear factor 1{7.1.2}	NFIA_HUMAN.H11MO.0.C	0.6769350000000001	NFIA	Nuclear factor 1{7.1.2}
