experiment_TF	experiment_TF_family	best_motif	best_auc	tfs_of_best_motif	best_motifs_family
PRDM14	More than 3 adjacent zinc finger factors{2.3.3}	PRD14_HUMAN.H11MO.0.A	0.78225	PRDM14	More than 3 adjacent zinc finger factors{2.3.3}
SIX5	HD-SINE factors{3.1.6}	ZNF76_HUMAN.H11MO.0.C	0.789335	ZNF76	More than 3 adjacent zinc finger factors{2.3.3}
SMAD1	SMAD factors{7.1.1}	CTCF_HUMAN.H11MO.0.A	0.8318433333333334	CTCF	More than 3 adjacent zinc finger factors{2.3.3}
SMAD3	SMAD factors{7.1.1}	MA0696.1_ZIC1	0.68734125	ZIC1	More than 3 adjacent zinc finger factors{2.3.3}
SNAI2	More than 3 adjacent zinc finger factors{2.3.3}	SNAI2_HUMAN.H11MO.0.A	0.9533675	SNAI2	More than 3 adjacent zinc finger factors{2.3.3}
SP4	Three-zinc finger Krüppel-related factors{2.3.1}	SP1_HUMAN.H11MO.1.A	0.74402	SP1	Three-zinc finger Krüppel-related factors{2.3.1}
SSRP1	WHSC1-related factors{4.1.5}	ZN436_HUMAN.H11MO.0.C	0.59744	ZNF436	More than 3 adjacent zinc finger factors{2.3.3}
TBXT	Brachyury-related factors{6.5.1}	MA0696.1_ZIC1	0.7914950000000001	ZIC1	More than 3 adjacent zinc finger factors{2.3.3}
TBP	TBP-related factors{8.1.1}	SP1_HUMAN.H11MO.1.A	0.63886	SP1	Three-zinc finger Krüppel-related factors{2.3.1}
YY1	More than 3 adjacent zinc finger factors{2.3.3}	TYY2_HUMAN.H11MO.0.D	0.91954	YY2	More than 3 adjacent zinc finger factors{2.3.3}
ZBTB33	Other factors with up to three adjacent zinc fingers{2.3.2}	MA0527.1_ZBTB33	0.7465824999999999	ZBTB33	Other factors with up to three adjacent zinc fingers{2.3.2}
ZBTB7A	More than 3 adjacent zinc finger factors{2.3.3}	ZBT7A_HUMAN.H11MO.0.A	0.7277666666666667	ZBTB7A	More than 3 adjacent zinc finger factors{2.3.3}
ZC3H8	ZC3H8-related factors{2.8.1}	CTCFL_HUMAN.H11MO.0.A	0.69472	CTCFL	More than 3 adjacent zinc finger factors{2.3.3}
ZFX	More than 3 adjacent zinc finger factors{2.3.3}	ZFX_HUMAN.H11MO.0.A	0.8023333333333333	ZFX	More than 3 adjacent zinc finger factors{2.3.3}
ZHX1	HD-ZF factors{3.1.8}	CTCFL_HUMAN.H11MO.0.A	0.6799866666666667	CTCFL	More than 3 adjacent zinc finger factors{2.3.3}
ZKSCAN1	More than 3 adjacent zinc finger factors{2.3.3}	ZKSC1_HUMAN.H11MO.0.B	0.8052525	ZKSCAN1	More than 3 adjacent zinc finger factors{2.3.3}
ZNF143	More than 3 adjacent zinc finger factors{2.3.3}	ZNF76_HUMAN.H11MO.0.C	0.8547307692307692	ZNF76	More than 3 adjacent zinc finger factors{2.3.3}
ZNF24	More than 3 adjacent zinc finger factors{2.3.3}	MA1124.1_ZNF24	0.92993	ZNF24	More than 3 adjacent zinc finger factors{2.3.3}
ZNF263	More than 3 adjacent zinc finger factors{2.3.3}	ZN263_HUMAN.H11MO.1.A	0.87367	ZNF263	More than 3 adjacent zinc finger factors{2.3.3}
ZNF384	More than 3 adjacent zinc finger factors{2.3.3}	MA1125.1_ZNF384	0.9255150000000001	ZNF384	More than 3 adjacent zinc finger factors{2.3.3}
